lossSin,acuracySin,valLossSin,valAccSin,lossCon,acuracyCon,valLossCon,valAccCon
0.483257532119751,0.848653256893158,0.10889244079589844,0.9599999785423279,0.8104647994041443,0.7362120747566223,0.61253821849823,0.7599999904632568
0.20878787338733673,0.9367250800132751,0.12830840051174164,0.9599999785423279,0.42854511737823486,0.8482257127761841,0.34994399547576904,0.9200000166893005
0.19278964400291443,0.9380077123641968,0.06308551877737045,0.9800000190734863,0.3901723325252533,0.8670371770858765,0.2810404896736145,0.8799999952316284
0.13976402580738068,0.952971339225769,0.020664924755692482,1.0,0.36733153462409973,0.8704574704170227,0.18558917939662933,0.9200000166893005
0.11679742485284805,0.9649422764778137,0.017932498827576637,1.0,0.34531646966934204,0.8772979974746704,0.29262158274650574,0.8799999952316284
0.11838899552822113,0.9619495272636414,0.01599184423685074,1.0,0.28534257411956787,0.9050876498222351,0.16256985068321228,0.8999999761581421
0.09652700275182724,0.9705002307891846,0.2082299441099167,0.9399999976158142,0.2642291784286499,0.9033775329589844,0.1332014948129654,0.9599999785423279
0.10441114008426666,0.9670799374580383,0.12244293838739395,0.9399999976158142,0.2751048803329468,0.9042325615882874,0.16156598925590515,0.9399999976158142
0.07584749907255173,0.9756306409835815,0.020939111709594727,1.0,0.25399094820022583,0.9187687039375305,0.15795306861400604,0.9399999976158142
0.07631295174360275,0.9756306409835815,0.08809017390012741,0.9599999785423279,0.24211305379867554,0.916203498840332,0.07040691375732422,0.9800000190734863
