lossCon,acuracyCon,valLossCon,valAccCon
0.8104647994041443,0.7362120747566223,0.61253821849823,0.7599999904632568
0.42854511737823486,0.8482257127761841,0.34994399547576904,0.9200000166893005
0.3901723325252533,0.8670371770858765,0.2810404896736145,0.8799999952316284
0.36733153462409973,0.8704574704170227,0.18558917939662933,0.9200000166893005
0.34531646966934204,0.8772979974746704,0.29262158274650574,0.8799999952316284
0.28534257411956787,0.9050876498222351,0.16256985068321228,0.8999999761581421
0.2642291784286499,0.9033775329589844,0.1332014948129654,0.9599999785423279
0.2751048803329468,0.9042325615882874,0.16156598925590515,0.9399999976158142
0.25399094820022583,0.9187687039375305,0.15795306861400604,0.9399999976158142
0.24211305379867554,0.916203498840332,0.07040691375732422,0.9800000190734863
