lossSin,acuracySin,valLossSin,valAccSin
0.483257532119751,0.848653256893158,0.10889244079589844,0.9599999785423279
0.20878787338733673,0.9367250800132751,0.12830840051174164,0.9599999785423279
0.19278964400291443,0.9380077123641968,0.06308551877737045,0.9800000190734863
0.13976402580738068,0.952971339225769,0.020664924755692482,1.0
0.11679742485284805,0.9649422764778137,0.017932498827576637,1.0
0.11838899552822113,0.9619495272636414,0.01599184423685074,1.0
0.09652700275182724,0.9705002307891846,0.2082299441099167,0.9399999976158142
0.10441114008426666,0.9670799374580383,0.12244293838739395,0.9399999976158142
0.07584749907255173,0.9756306409835815,0.020939111709594727,1.0
0.07631295174360275,0.9756306409835815,0.08809017390012741,0.9599999785423279
